"COUNTRY","INDICATOR","PRICE_TYPE","S_ADJUSTMENT","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2000-Q1","1294528589.54379",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2000-Q2","1354740202.3818",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2000-Q3","1323269919.11353",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2000-Q4","1368408269.27149",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2001-Q1","1324894639.84751",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2001-Q2","1314117242.40745",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2001-Q3","1337479874.98144",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2001-Q4","1326117062.53339",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2002-Q1","1358747751.65382",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2002-Q2","1364470462.01137",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2002-Q3","1367520172.16071",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2002-Q4","1356897066.8651",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2003-Q1","1388453505.45631",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2003-Q2","1411932216.75076",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2003-Q3","1421388969.33082",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2003-Q4","1425104756.10283",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2004-Q1","1424094090.89853",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2004-Q2","1378209304.07477",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2004-Q3","1418841044.72774",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2004-Q4","1452112241.51127",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2005-Q1","1411996731.5224",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2005-Q2","1465339965.26641",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2005-Q3","1477530998.51131",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2005-Q4","1479297581.53576",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2006-Q1","1459549355.03642",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2006-Q2","1500250500.22837",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2006-Q3","1508893219.43735",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2006-Q4","1504134062.90365",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2007-Q1","1562201228.34741",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2007-Q2","1570878811.78096",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2007-Q3","1585279802.85656",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2007-Q4","1555679414.8041",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2008-Q1","1626615833.55622",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2008-Q2","1632132357.52784",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2008-Q3","1639223653.84652",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2008-Q4","1652938224.1867",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2009-Q1","1589948631.52969",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2009-Q2","1601413414.25546",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2009-Q3","1615143972.67483",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2009-Q4","1654498663.10908",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2010-Q1","1706991913.44027",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2010-Q2","1685316422.9228",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2010-Q3","1725594341.9582",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2010-Q4","1743902349.67873",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2011-Q1","1728426968.45746",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2011-Q2","1711528151.95148",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2011-Q3","1735205454.49643",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2011-Q4","1756371997.54215",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2012-Q1","1772131641.0672",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2012-Q2","1792240669.20931",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2012-Q3","1822042284.47103",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2012-Q4","1828140262.33222",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2013-Q1","1858166936.13622",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2013-Q2","1915778633.59488",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2013-Q3","1947083877.4425",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2013-Q4","1946456196.94194",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2014-Q1","2003040908.43103",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2014-Q2","2040147642.22101",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2014-Q3","2073574047.83078",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2014-Q4","2137907676.29061",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2015-Q1","2196791404.1579",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2015-Q2","2249527063.7672",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2015-Q3","2278135630.05061",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2015-Q4","2324278973.79336",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q1","2304197158.89383",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q2","2327944982.90943",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q3","2375027440.41525",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q4","2411900357.32297",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q1","2600867767.0527",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q2","2630250651.80789",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q3","2683752284.81371",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q4","2723262356.4008",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q1","2729499874.13238",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q2","2828496826.26764",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q3","2916820405.59703",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q4","2926710115.20199",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q1","2887449081.88253",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q2","2964284391.80635",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q3","2999806723.70258",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q4","3021683798.84745",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q1","3067937034.30695",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q2","2686833433.3986",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q3","2806254946.07774",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q4","2906383290.96696",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q1","3110259945.15078",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q2","3163770324.52946",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q3","3332611967.30025",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q4","3377200552.51601",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2022-Q1","3214696221.33337",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2022-Q2","3292059203.29074",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2022-Q3","3355448775.56481",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2022-Q4","3463353778.01865",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2023-Q1","3538277140.24891",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2023-Q2","3652295850.15322",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2023-Q3","3741260407.05483",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2023-Q4","3806643124.76435",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2024-Q1","3843694147.59776",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2024-Q2","3952124276.27874",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2024-Q3","3964423151.67076",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2024-Q4","4011951359.85606",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2025-Q1","4020631366.23355",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2025-Q2","4047883157.31054",""
"Malta","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2025-Q3","4072687364.13972",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1995-Q1","3214789929.70734",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1995-Q2","3545335801.80845",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1995-Q3","4027838464.35379",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1995-Q4","3876220147.84534",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1996-Q1","3377015090.46748",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1996-Q2","3619734690.1116",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1996-Q3","4350808842.34401",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1996-Q4","4053785816.4492",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1997-Q1","3530378700.92097",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1997-Q2","3983412859.3058",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1997-Q3","4715788454.73112",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1997-Q4","4450173113.52143",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1998-Q1","3913083047.94546",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1998-Q2","4394686222.88033",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1998-Q3","4984631003.30175",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1998-Q4","4632152289.4556",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1999-Q1","4023686716.35921",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1999-Q2","4442671180.68375",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1999-Q3","4781300511.77129",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","1999-Q4","4480260979.22419",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2000-Q1","4194352672.64188",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2000-Q2","4509056273.01302",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2000-Q3","4911325226.53721",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2000-Q4","4719235453.80251",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2001-Q1","4477001309.50319",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2001-Q2","4743857339.90949",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2001-Q3","5210908617.96407",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2001-Q4","5090999780.95317",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2002-Q1","4685237449.24468",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2002-Q2","5120117861.2919",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2002-Q3","5624616152.1083",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2002-Q4","5404694362.77807",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2003-Q1","5193905601.19368",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2003-Q2","5598529554.74556",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2003-Q3","6191676428.37037",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2003-Q4","6049006826.22049",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2004-Q1","5560168366.27048",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2004-Q2","6011919939.53426",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2004-Q3","6492915756.39981",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2004-Q4","6465735756.16669",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2005-Q1","5866314765.96103",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2005-Q2","6438166683.85737",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2005-Q3","7080178986.32767",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2005-Q4","7042660324.06306",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2006-Q1","6309991595.28503",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2006-Q2","6972156300.82966",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2006-Q3","7564567547.38208",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2006-Q4","7535032790.14933",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2007-Q1","6927701626.00278",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2007-Q2","7778939776.59638",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2007-Q3","8496073488.28606",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2007-Q4","8323143250.12434",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2008-Q1","7417878332.0473",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2008-Q2","8196469785.9022",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2008-Q3","8632287707.37554",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2008-Q4","8098724559.36579",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2009-Q1","6382348742.95755",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2009-Q2","6908103491.44234",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2009-Q3","7393705644.06454",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2009-Q4","6861600394.97738",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2010-Q1","6243343130.72884",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2010-Q2","6912336453.82984",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2010-Q3","7377059317.01332",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2010-Q4","7130694650.428",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2011-Q1","6639688128.8425",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2011-Q2","7296907592.22552",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2011-Q3","7922677714.2533",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2011-Q4","7553495130.80187",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2012-Q1","6921535828.99111",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2012-Q2","7487880326.47878",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2012-Q3","8373039374.56247",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2012-Q4","7919446683.3515",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2013-Q1","7193713987.51387",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2013-Q2","7826352035.00004",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2013-Q3","8674307991.24701",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2013-Q4","8250008211.89392",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2014-Q1","7546430806.97078",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2014-Q2","8171941941.84318",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2014-Q3","8960125039.28288",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2014-Q4","8470999877.92156",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2015-Q1","7715939099.83904",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2015-Q2","8379820804.67347",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2015-Q3","9233469195.87496",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2015-Q4","8759329625.53545",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q1","7902542229.5548",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q2","8539472897.53426",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q3","9440997689.9799",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q4","9116365640.07581",""
"Lithuania, Republic of","Gross domestic product (GDP)","Constant prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2017-Q1","8303144537.39206",""
